Evento,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total,Año,Género
+87 kg (23.04),Valentyna,Kisil,Ucrania,111.0,133.0,244.0,2023,Femenino
55 kg (13.02),Dzhan,Zarkov,Bulgaria,102.0,133.0,235.0,2024,Masculino
61 kg (13.02),Shota,Mishvelidze,Georgia,125.0,147.0,272.0,2024,Masculino
67 kg (14.02),Ferdi,Hardal,Turquía,135.0,169.0,304.0,2024,Masculino
73 kg (15.02),Ritvars,Suharevs,Letonia,154.0,177.0,331.0,2024,Masculino
81 kg (16.02),Rafik,Harutiunian,Armenia,154.0,182.0,336.0,2024,Masculino
89 kg (17.02),Marin,Robu,Moldavia,171.0,207.0,378.0,2024,Masculino
96 kg (18.02),Pavel,Jadasevich,AIN,165.0,195.0,360.0,2024,Masculino
102 kg (19.02),Garik,Karapetian,Armenia,182.0,212.0,394.0,2024,Masculino
109 kg (19.02),Matthäus,Hofmann,Alemania,172.0,206.0,378.0,2024,Masculino
+109 kg (20.02),Eduard,Ziaziulin,AIN,195.0,241.0,436.0,2024,Masculino
45 kg (12.02),Marta,García Rincón,España,72.0,84.0,156.0,2024,Femenino
49 kg (12.02),Tham,Nguyen,Irlanda,74.0,95.0,169.0,2024,Femenino
55 kg (13.02),Sol,Anette Waaler,Noruega,86.0,104.0,190.0,2024,Femenino
59 kg (14.02),Saara,Retulainen,Finlandia,95.0,119.0,214.0,2024,Femenino
64 kg (15.02),Wiktoria,Wołk,Polonia,94.0,121.0,215.0,2024,Femenino
71 kg (16.02),Lisa,Marie Schweizer,Alemania,107.0,124.0,231.0,2024,Femenino
76 kg (17.02),Lara,Dancz,Alemania,101.0,114.0,215.0,2024,Femenino
81 kg (18.02),Dilara,Narin,Turquía,97.0,125.0,222.0,2024,Femenino
87 kg (19.02),Hripsime,Jurshudian,Armenia,105.0,122.0,227.0,2024,Femenino
+87 kg (20.02),Fatmagül,Çevik,Turquía,107.0,131.0,238.0,2024,Femenino
